Name,Emp ID,Gender,Education Qualification,Date of Join,Job Title,Salary,Age,Leave Balance
Barr Faughny,AC0001,Male,Bachelor's Degree,43994,Chocolatier,51300,26,13
Dennison Crosswaite,AC0002,Female,Diploma,44245,Production Operator,38300,32.7,12
Gunar Cockshoot,AC0003,Male,High School Diploma,44809,Packaging Associate,31400,34.3,16
Wilone O'Kielt,AC0004,Female,Bachelor's Degree,43789,Marketing Specialist,60700,29.6,21
Gigi Bohling,AC0005,Male,Master's Degree,43198,Research Scientist,77300,30.3,23
Curtice Advani,AC0006,Female,Bachelor's Degree,44999,Sales Representative,49800,37.7,23
Kaine Padly,AC0007,Male,High School Diploma,44563,Production Operator,33000,31.8,24
Ches Bonnell,AC0008,Female,Diploma,44031,Quality Control,41900,35.9,17
Andria Kimpton,AC0009,Male,Bachelor's Degree,44510,Research Analyst,58100,31,16
Brien Boise,AC0010,Female,Master's Degree,43641,Product Manager,82900,31.1,17
Husein Augar,AC0011,Male,High School Diploma,44777,Packaging Associate,28900,30.3,16
Karlen McCaffrey,AC0012,Female,Diploma,43878,Production Operator,37300,35,11
Jan Morforth,AC0013,Male,Bachelor's Degree,44499,Chocolatier,52700,28.5,25
Dotty Strutley,AC0014,Female,Master's Degree,43355,Marketing Manager,74700,52.4,10
Kelci Walkden,AC0015,Male,Bachelor's Degree,43529,Research Analyst,55600,35.4,12
Marney O'Breen,AC0016,Female,High School Diploma,44702,Packaging Associate,32900,29.8,17
Rafaelita Blaksland,AC0017,Female,Diploma,44416,Quality Control,41500,32.3,17
Madelene Upcott,AC0018,Male,Bachelor's Degree,44158,Sales Representative,49400,31.1,20
Beverie Moffet,AC0019,Female,Master's Degree,42931,Product Manager,82700,33.5,23
Oby Sorrel,AC0020,Male,High School Diploma,44650,Production Operator,38200,31.1,16
Mallorie Waber,AC0021,Female,Diploma,43712,Packaging Associate,32600,31.5,16
Jehu Rudeforth,AC0022,Male,Bachelor's Degree,43270,Research Scientist,76800,32.7,22
Van Tuxwell,AC0023,Female,Master's Degree,44203,Marketing Specialist,62300,33.8,23
Roddy Speechley,AC0024,Male,Bachelor's Degree,44068,Sales Representative,46200,30.1,19
Camilla Castle,AC0025,Female,High School Diploma,44969,Packaging Associate,32500,63.7,12
Janene Hairsine,AC0026,Male,Diploma,44866,Quality Control,43100,33.8,16
Niall Selesnick,AC0027,Female,Bachelor's Degree,43571,Research Analyst,60000,28.8,18
Ebonee Roxburgh,AC0028,Male,Master's Degree,43382,Product Manager,82100,32.7,14
Zach Polon,AC0029,Female,High School Diploma,45072,Production Operator,35900,29.9,15
Orton Livick,AC0030,Male,Diploma,43843,Packaging Associate,31100,27,20
Gray Seamon,AC0031,Female,Bachelor's Degree,43308,Marketing Manager,74200,30.6,27
Benny Karolovsky,AC0032,Male,Master's Degree,43538,Research Analyst,57100,28.7,13
Dyna Doucette,AC0033,Female,High School Diploma,44832,Packaging Associate,35200,33.7,21
Erin Androsik,AC0034,Male,Diploma,44297,Quality Control,42800,31.2,18
Madge McCloughen,AC0035,Female,Bachelor's Degree,43856,Sales Representative,46900,34.9,16
Esmaria Denecamp,AC0036,Male,Master's Degree,42950,Product Manager,80700,26.1,13
Hogan Iles,AC0037,Female,High School Diploma,45004,Production Operator,36500,23.5,17
Valentia Etteridge,AC0038,Male,Diploma,44849,Packaging Associate,31900,29.6,25
Archibald Filliskirk,AC0039,Female,Bachelor's Degree,43626,Chocolatier,52700,32.2,16
Lindy Guillet,AC0040,Male,Master's Degree,43223,Marketing Specialist,61400,37.8,15
Dell Molloy,AC0041,Female,High School Diploma,44468,Research Scientist,79300,34.9,18
Ewart Laphorn,AC0042,Male,Diploma,43875,Sales Representative,49000,35.3,13
Vic Radolf,AC0043,Female,Bachelor's Degree,44927,Quality Control,44800,30,17
Virginia McConville,AC0044,Male,High School Diploma,44890,Packaging Associate,29700,32.3,15
Kaye Crocroft,AC0045,Female,Diploma,43930,Production Operator,39700,30,18
Mollie Hanway,AC0046,Male,Bachelor's Degree,44500,Chocolatier,52500,55.9,16
Hoyt D'Alesco,AC0047,Female,Master's Degree,43326,Marketing Manager,73500,62.6,23
Crissie Cordel,AC0048,Female,Bachelor's Degree,43551,Research Analyst,57800,34.2,14
Myer McCory,AC0049,Male,High School Diploma,44754,Packaging Associate,34900,30.2,19
Enoch Dowrey,AC0050,Female,Diploma,44311,Quality Control,44400,31.5,18
Kissiah Maydway,AC0051,Female,Bachelor's Degree,44082,Sales Representative,46000,53.5,15
Ambros Murthwaite,AC0052,Female,Master's Degree,42848,Product Manager,84800,34.4,18
Torrance Collier,AC0053,Male,High School Diploma,44971,Production Operator,39300,37.9,16
Allene Gobbet,AC0054,Male,Diploma,44926,Packaging Associate,29000,30.4,30
Violante Courtonne,AC0055,Female,Bachelor's Degree,43631,Chocolatier,53900,32.5,23
Merrilee Plenty,AC0056,Male,Master's Degree,43401,Marketing Specialist,63600,35,10
Tatum Hush,AC0057,Female,High School Diploma,44543,Research Scientist,77000,36.3,17
Kath Bletsoe,AC0058,Male,Bachelor's Degree,44038,Sales Representative,49700,30.9,19
Hinda Label,AC0059,Female,Diploma,45099,Quality Control,43000,33.6,4
Shari McNee,AC0060,Female,Bachelor's Degree,43722,Packaging Associate,36200,36,19
My Hanscome,AC0061,Male,Master's Degree,43196,Marketing Manager,70800,36.8,18
Drusy MacCombe,AC0062,Male,High School Diploma,43849,Research Analyst,55700,31.6,22
Halimeda Kuscha,AC0063,Female,Diploma,44746,Product Manager,83600,33.1,18
William Reeveley,AC0064,Male,Bachelor's Degree,44425,Production Operator,39800,31.3,15
Tracy Renad,AC0065,Female,Master's Degree,43444,Chocolatier,51400,33.9,8
Kassi Jonson,AC0066,Male,High School Diploma,43731,Marketing Specialist,63100,30.2,21
Constantino Espley,AC0067,Female,Bachelor's Degree,44607,Research Scientist,76300,65.4,16
Mollie Hanway,AC0068,Female,Diploma,44376,Sales Representative,47800,27.7,19
Gretchen Callow,AC0069,Male,Bachelor's Degree,43912,Quality Control,41500,33.4,13
Bev Lashley,AC0070,Female,High School Diploma,44938,Packaging Associate,33600,46,16
Sibyl Dunkirk,AC0071,Male,Diploma,43621,Production Operator,37000,33,17
Trio Lipa,AC0072,Female,Bachelor's Degree,43371,Research Analyst,56700,35,14
Shayne Stegel,AC0073,Male,Master's Degree,42836,Product Manager,84700,34.8,20
Hyacinthie Braybrooke,AC0074,Female,High School Diploma,44983,Chocolatier,51300,36.3,14
Agnes Collicott,AC0075,Female,Diploma,44027,Marketing Manager,74800,31.2,20
Teressa Udden,AC0076,Male,Bachelor's Degree,43766,Research Scientist,78400,31,22
Bennie Pepis,AC0077,Female,High School Diploma,44664,Sales Representative,48300,27.7,20
Elia Cockton,AC0078,Female,Diploma,44344,Quality Control,42100,35.9,16
A R Rahadude,AC0079,Female,Bachelor's Degree,44003,Packaging Associate,36000,31.6,17
Murry Dryburgh,AC0080,Male,Master's Degree,43347,Production Operator,37700,34.8,20
Mahalia Larcher,AC0081,Female,High School Diploma,43697,Research Analyst,56900,30.5,12
Bili Sizey,AC0082,Female,Diploma,44629,Product Manager,81600,61.7,6
Lilyan Klimpt,AC0083,Male,Bachelor's Degree,44552,Chocolatier,51200,42.6,22
Almond Joy,AC0084,Female,Master's Degree,43661,Marketing Specialist,61400,31,15
